Repository,File,Line,Type,Severity,Description,Category
"spring-petclinic","src/main/java/org/springframework/samples/petclinic/owner/Owner.java","98","addDirtyRegion","info","Deprecated","Deprecated"
"spring-petclinic","src/main/java/org/springframework/samples/petclinic/owner/Owner.java","119","getId","info","Deprecated","Deprecated"
"spring-petclinic","src/main/java/org/springframework/samples/petclinic/owner/Owner.java","148","toString","info","Deprecated","Deprecated"
"spring-petclinic","src/main/java/org/springframework/samples/petclinic/owner/Owner.java","148","appendText","info","Deprecated","Deprecated"
"spring-petclinic","src/main/java/org/springframework/samples/petclinic/owner/Owner.java","148","appendText","info","Deprecated","Deprecated"
"spring-petclinic","src/main/java/org/springframework/samples/petclinic/owner/Owner.java","148","appendText","info","Deprecated","Deprecated"
"spring-petclinic","src/main/java/org/springframework/samples/petclinic/owner/Owner.java","148","appendText","info","Deprecated","Deprecated"
"spring-petclinic","src/main/java/org/springframework/samples/petclinic/owner/Owner.java","148","appendText","info","Deprecated","Deprecated"
"spring-petclinic","src/main/java/org/springframework/samples/petclinic/owner/Owner.java","148","appendText","info","Deprecated","Deprecated"
"spring-petclinic","src/main/java/org/springframework/samples/petclinic/owner/Owner.java","148","appendText","info","Deprecated","Deprecated"
"spring-petclinic","src/main/java/org/springframework/samples/petclinic/owner/Owner.java","148","getId","info","Deprecated","Deprecated"
"spring-petclinic","src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java","82","save","info","Deprecated","Deprecated"
"spring-petclinic","src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java","84","getId","info","Deprecated","Deprecated"
"spring-petclinic","src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java","102","isEmpty","info","Deprecated","Deprecated"
"spring-petclinic","src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java","110","nextFocus","info","Deprecated","Deprecated"
"spring-petclinic","src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java","111","getId","info","Deprecated","Deprecated"
