Repository,File,Line,Type,Severity,Description,Category
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/AmqpMessageReturnedException.java","71","toString","info","Deprecated","Deprecated"
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/BindingBuilder.java","43","isEmpty","info","Deprecated","Deprecated"
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/Declarables.java","41","isEmpty","info","Deprecated","Deprecated"
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/Declarables.java","63","finalize","info","Deprecated","Deprecated"
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/Message.java","112","appendText","info","Deprecated","Deprecated"
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/Message.java","112","toString","info","Deprecated","Deprecated"
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/Message.java","120","equals","info","Deprecated","Deprecated"
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/Message.java","125","equals","info","Deprecated","Deprecated"
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/Message.java","126","equals","info","Deprecated","Deprecated"
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/Message.java","127","equals","info","Deprecated","Deprecated"
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/Message.java","128","equals","info","Deprecated","Deprecated"
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/Message.java","174","equals","info","Deprecated","Deprecated"
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/MessageBuilder.java","123","Message","info","Deprecated","Deprecated"
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/MessageBuilderSupport.java","163","getTTL","info","Deprecated","Deprecated"
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/MessageBuilderSupport.java","234","equals","info","Deprecated","Deprecated"
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/MessageBuilderSupport.java","256","equals","info","Deprecated","Deprecated"
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/MessageBuilderSupport.java","271","equals","info","Deprecated","Deprecated"
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/MessageBuilderSupport.java","336","removeListeners","info","Deprecated","Deprecated"
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/MessageBuilderSupport.java","341","clear","info","Deprecated","Deprecated"
"spring-amqp","spring-amqp/src/main/java/org/springframework/amqp/core/QueueBuilder.java","111","put","info","Deprecated","Deprecated"
