Repository,File,Line,Type,Severity,Description,Category
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/channel/PointToPointSubscribableAmqpChannel.java","82","Queue","error","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/channel/PointToPointSubscribableAmqpChannel.java","88","Queue","error","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/channel/PollableAmqpChannel.java","168","traceInstructions","error","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/channel/PollableAmqpChannel.java","170","isEmpty","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/channel/PollableAmqpChannel.java","252","traceInstructions","error","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/channel/PollableAmqpChannel.java","277","send","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/channel/PollableAmqpChannel.java","277","send","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/channel/PollableAmqpChannel.java","277","send","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/channel/PollableAmqpChannel.java","277","send","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/channel/PollableAmqpChannel.java","285","addDirtyRegion","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/channel/PollableAmqpChannel.java","106","Queue","error","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/channel/PollableAmqpChannel.java","138","Queue","error","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/channel/PublishSubscribeAmqpChannel.java","105","to","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/channel/PublishSubscribeAmqpChannel.java","105","createValidator","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/config/AmqpChannelParser.java","52","equals","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/dsl/AbstractMessageListenerContainerSpec.java","60","disableResizedPosting","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/dsl/Amqp.java","291","disableResizedPosting","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/dsl/Amqp.java","310","disableResizedPosting","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/dsl/Amqp.java","332","disableResizedPosting","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/dsl/AmqpInboundChannelAdapterDMLCSpec.java","42","acceptSecContext","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/dsl/AmqpInboundChannelAdapterSMLCSpec.java","43","acceptSecContext","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/dsl/AmqpInboundChannelAdapterSpec.java","46","getObjectPendingFinalizationCount","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/dsl/AmqpInboundChannelAdapterSpec.java","52","getObjectPendingFinalizationCount","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/dsl/AmqpInboundChannelAdapterSpec.java","52","getId","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/dsl/AmqpInboundGatewayDMLCSpec.java","45","acceptSecContext","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/dsl/AmqpInboundGatewaySMLCSpec.java","45","acceptSecContext","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/dsl/AmqpInboundGatewaySpec.java","46","getObjectPendingFinalizationCount","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/dsl/AmqpInboundGatewaySpec.java","59","getObjectPendingFinalizationCount","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/dsl/AmqpInboundGatewaySpec.java","65","getObjectPendingFinalizationCount","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/dsl/AmqpInboundGatewaySpec.java","65","getId","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/dsl/AmqpPollableMessageChannelSpec.java","73","disableResizedPosting","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/dsl/AmqpPollableMessageChannelSpec.java","83","getId","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/dsl/AmqpPollableMessageChannelSpec.java","217","getId","info","Deprecated","Deprecated"
"spring-integration","spring-integration-amqp/src/main/java/org/springframework/integration/amqp/dsl/AmqpPollableMessageChannelSpec.java","219","getObjectPendingFinalizationCount","info","Deprecated","Deprecated"
