Repository,File,Line,Type,Severity,Description,Category
"spring-security","acl/src/main/java/org/springframework/security/acls/AclEntryVoter.java","106","getLogStream","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/AclEntryVoter.java","123","isEmpty","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/AclEntryVoter.java","163","equals","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/AclPermissionCacheOptimizer.java","45","getLogStream","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/AclPermissionCacheOptimizer.java","66","addDirtyRegion","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/AclPermissionCacheOptimizer.java","70","finalize","error","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/AclPermissionCacheOptimizer.java","70","disableResizedPosting","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/afterinvocation/AbstractAclProvider.java","66","isEmpty","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/afterinvocation/AbstractAclProvider.java","115","equals","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationCollectionFilteringProvider.java","73","getLogStream","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationCollectionFilteringProvider.java","105","removeListeners","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationCollectionFilteringProvider.java","106","finalize","error","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationProvider.java","71","getLogStream","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/afterinvocation/ArrayFilterer.java","40","getLogStream","info","Deprecated","Deprecated"
